n,k,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,trial,seed
4,3,0.01,0.012583642863412646,0.0007786793132473105,0.0069415338393505515,0.06188027757139756,3,1.8881677591423331,4,20260602
4,3,0.003,0.0037993804073622435,0.0002389382351130068,0.003876406044482084,0.06288873697669352,3,1.8886365271588876,4,20260602
4,3,0.1,0.11078048798374429,0.015598255179414754,0.04686454274189749,0.14080327197785597,3,1.926723726983616,5,20260602
4,3,0.03,0.03508736429774507,0.006448259123111923,0.03442445776883216,0.18377724437758147,3,1.9787859014829174,5,20260602
4,3,0.01,0.01187228504235515,0.0020758483836617837,0.01905146918793004,0.17484826015009405,3,1.994549888397433,5,20260602
4,3,0.003,0.0035802176917328803,0.0006305095544656441,0.010537484648006723,0.17610927847252433,3,2.0001331506287388,5,20260602
4,3,0.1,0.12237675759078928,0.030391099917647282,0.08687542601395074,0.24834045709292984,3,2.3694982344642357,6,20260602
4,3,0.03,0.0388945312188702,0.007408574634981859,0.03756560517583665,0.19047856865253823,3,2.328711593652508,6,20260602
4,3,0.01,0.013172606019779038,0.0028857782096142416,0.025143579121368057,0.21907420637049074,3,2.321990353902837,6,20260602
4,3,0.003,0.003973596845350124,0.0009146982129398232,0.014510618677614981,0.2301940152811921,3,2.3201507809471416,6,20260602
4,3,0.1,0.14639694483442886,0.03842769095755439,0.10043342714571135,0.26248970564935703,3,1.7125491131715997,7,20260602
4,3,0.03,0.047945321450529585,0.015268861908367251,0.06973222936800538,0.3184640637798581,3,1.822780888061195,7,20260602
4,3,0.01,0.016365225054957643,0.005035289351291423,0.03936075689114993,0.3076822551710674,3,1.8567348936612034,7,20260602
4,3,0.003,0.004949829896489335,0.0014403712043766124,0.020472896611275115,0.2909940815134264,3,1.8688790112352331,7,20260602
4,3,0.1,0.15159638316727309,0.04359865246658027,0.11197695319150172,0.287596917259385,3,1.9791454724984692,8,20260602
4,3,0.03,0.04941290141792641,0.011797989430844874,0.05307473385277379,0.23876334099589433,3,2.032727521266069,8,20260602
4,3,0.01,0.016845632517189305,0.004002970028121741,0.030841726185322996,0.23762657911699694,3,2.048529164084972,8,20260602
4,3,0.003,0.005093029619834311,0.0009990527172626877,0.01399910607734696,0.19616079069557607,3,2.0541013199952456,8,20260602
4,3,0.1,0.1319287080648277,0.031067776286260725,0.08553434114420583,0.23548912698360167,3,1.9429578042510545,9,20260602
4,3,0.03,0.04265325238701595,0.006077535579267639,0.029427368910151113,0.14248703766181492,3,1.998256813153436,9,20260602
4,3,0.01,0.014510573649725998,0.002189076070128093,0.01817266256624341,0.1508607531976814,3,2.014073454123559,9,20260602
4,3,0.003,0.004383918494593501,0.0007805482012766487,0.011788769918839846,0.17804806413241153,3,2.01958115252788,9,20260602
4,3,0.1,0.16596897461158153,0.03714814609220297,0.09118506025107584,0.22382584563856625,3,2.995453201699807,10,20260602
4,3,0.03,0.05200031077796567,0.011622588504402391,0.05096826995877072,0.22350998158509627,3,2.688571283692315,10,20260602
4,3,0.01,0.01754387677308296,0.0051885230918900785,0.039172471189900526,0.29574552757066064,3,2.624232407028371,10,20260602
4,3,0.003,0.005285259215869746,0.0015456272281342133,0.021260408932609703,0.29244113959316254,3,2.603813580900256,10,20260602
4,3,0.1,0.14391879713247258,0.06620170516965111,0.17450602078153968,0.45999345803810876,3,1.8585839474768366,11,20260602
