vector_rank,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,positivity_margin_phi1,trial,seed
1,0.003,0.003640514723471072,2.773337548161327e-32,4.596437251352873e-31,7.617981958103634e-30,2,1.8183624190193262,0.10763833347862128,14,20260605
1,0.001,0.0012172510835409993,2.773339666460667e-32,7.949008811713413e-31,2.2783628652791874e-29,2,1.8170917225821455,0.10763833347862128,14,20260605
1,0.1,0.07905660300318229,2.773573626461416e-32,9.864398862729777e-32,3.5083389889011174e-31,2,2.139126331432953,0.040623637237179766,15,20260605
1,0.03,0.024964146643419262,5.24337783018049e-32,3.3185838164144404e-31,2.1003633350962884e-30,2,2.1514482878847,0.040623637237179766,15,20260605
1,0.01,0.008444765130569475,1.1093365883625285e-31,1.207173100774346e-30,1.3136381784578063e-29,2,2.1554883337919453,0.040623637237179766,15,20260605
1,0.003,0.0025465098553561234,2.7733421471057624e-32,5.495798119324521e-31,1.0890757564800067e-29,2,2.1569443524154006,0.040623637237179766,15,20260605
1,0.001,0.0008500861596418709,2.773339440479259e-32,9.51199372723879e-31,3.262421589886403e-29,2,2.157364057694645,0.040623637237179766,15,20260605
1,0.1,0.0932537844488833,1.2435037519834618e-32,4.072057175251181e-32,1.333461970827665e-31,2,1.795019707312691,0.015248377590355133,16,20260605
1,0.03,0.030108002196061256,1.9263114880345656e-32,1.1101599229675544e-31,6.398005007076048e-31,2,1.826456174067623,0.015248377590355133,16,20260605
1,0.01,0.010258625898648349,2.7733338963729594e-32,2.73815206571037e-31,2.7034165430853336e-30,2,1.836414298500038,0.015248377590355133,16,20260605
1,0.003,0.003101020500929696,5.243345280247463e-32,9.415776446579377e-31,1.690845087504417e-29,2,1.8399826550719254,0.015248377590355133,16,20260605
1,0.001,0.0010359068716203406,5.00771943700002e-32,1.5558926603083235e-30,4.834140572083537e-29,2,1.8410096083684315,0.015248377590355133,16,20260605
1,0.1,0.09559431392001114,1.3084159769556363e-31,4.2318455448656625e-31,1.3687173674895117e-30,2,1.211716968489547,0.03537723828441652,17,20260605
1,0.03,0.03079813161045438,4.930469514160025e-32,2.8094809559084886e-31,1.6008989040381865e-30,2,1.2101935612740746,0.03537723828441652,17,20260605
1,0.01,0.010469338840890394,2.773413919369255e-32,2.7105352706668825e-31,2.6490822023421897e-30,2,1.2120114606363115,0.03537723828441652,17,20260605
1,0.003,0.0031621878381902454,2.7733546266000336e-32,4.93186947262844e-31,8.770366494696453e-30,2,1.2128714310327011,0.03537723828441652,17,20260605
1,0.001,0.0010561006329334935,2.7733392828390125e-32,8.533955065256776e-31,2.6260180103629e-29,2,1.2131377974565414,0.03537723828441652,17,20260605
1,0.1,0.09218744073916768,7.715499408205262e-32,2.5411374874053414e-31,8.369360670327383e-31,2,1.384501489338536,0.15101923787855842,18,20260605
