n,k,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,trial,seed
3,2,0.003,0.0027054866733799247,0.0010739685763049246,0.02064756656180034,0.39695947752100047,2,2.0615989073509167,157,20260602
3,2,0.003,0.00434462666204749,0.0005764033753865395,0.00874480810534841,0.1326704042079644,2,2.0806754156617573,158,20260602
3,2,0.003,0.0042403083044834965,0.0004828374916627921,0.007414848259597508,0.11386848714567833,2,2.0792050263889914,159,20260602
3,2,0.003,0.002712886169926794,0.00024012254851620075,0.004610172313841545,0.08851184070236179,2,2.076919339822526,160,20260602
3,2,0.003,0.004006760627144709,0.0006452150015945242,0.010193134566638304,0.16103158177790025,2,2.477831370148589,161,20260602
3,2,0.003,0.001863909715844026,0.00045012567188666995,0.010426087048138608,0.24149542655441417,2,2.0482342601128134,162,20260602
3,2,0.003,0.0029884068420117475,0.0006406864636269654,0.01171994806864286,0.21439064273981703,2,2.081776031651159,163,20260602
3,2,0.003,0.005425922029596289,0.0005119041819071008,0.00694947349883061,0.09434418318487865,2,2.123218516789749,164,20260602
3,2,0.003,0.0027336276062981755,0.0011006725076379272,0.02105176159269185,0.40264171502439433,2,2.1857017642684697,165,20260602
3,2,0.003,0.0037556913287937485,0.0013209849511610962,0.021555243059725972,0.3517288391177157,2,2.083387761368135,166,20260602
3,2,0.003,0.004641126591323828,0.0005729546013525852,0.008410242228629166,0.12345162108348277,2,2.3641911141248655,167,20260602
3,2,0.003,0.004287722464865839,0.0005366216155311726,0.008195110788028415,0.12515306667544845,2,2.037844090607011,168,20260602
3,2,0.003,0.0013940234626752088,0.0005848952443214495,0.015665456266589894,0.4195734576798319,2,2.043723921637721,169,20260602
3,2,0.003,0.0034629388459092737,0.000558481119155815,0.00949043423900011,0.16127374579991263,2,2.063443678208823,170,20260602
3,2,0.003,0.0033526151887808796,0.0009706961507108913,0.01676453274076267,0.2895340192811893,2,2.0437288908078326,171,20260602
3,2,0.003,0.005144629976998563,0.00038019839951139027,0.005300699839785109,0.07390199124353787,2,2.1118142073414465,172,20260602
3,2,0.003,0.003807123188714636,0.0005671528885649777,0.00919182364767557,0.14897150957609553,2,2.0414713508286666,173,20260602
3,2,0.003,0.004904237253240017,0.00025409474746809237,0.0036283565002517264,0.05181126734850011,2,2.0509210540069684,174,20260602
3,2,0.003,0.004338173710489906,0.00039485342275273676,0.005994906830430695,0.09101835221534876,2,2.0416139572304237,175,20260602
3,2,0.003,0.002315614112241848,0.0014805443569060636,0.030767225139314475,0.6393743884522639,2,2.0845512123323338,176,20260602
3,2,0.003,0.0012418257419323196,0.0002288052155325458,0.0064928533037203464,0.18424905186497242,2,2.0926243691936492,177,20260602
3,2,0.003,0.005827360803743929,0.0005944907872527292,0.00778769930807181,0.1020171578994704,2,2.0716984783097603,178,20260602
3,2,0.003,0.003874327046603662,0.0007770426874823065,0.012483798168285175,0.20056197583099825,2,2.0761243719876923,179,20260602
3,2,0.003,0.004066692683042687,0.0008507264311663207,0.013340412201207633,0.20919368574706507,2,2.390787830718759,180,20260602
3,2,0.003,0.004186659887378088,0.00030208309224876155,0.004668663551799616,0.07215372167189398,2,2.0535445655702884,181,20260602
3,2,0.003,0.002637759108646908,0.0005955710988080794,0.011596209396328853,0.2257867660681076,2,2.039758552060679,182,20260602
3,2,0.003,0.0020402174816483596,0.0005142053078463209,0.011384090066239657,0.25203455635076577,2,2.070496098949612,183,20260602
3,2,0.003,0.0029429178962007414,0.0007758226684196639,0.014301230021641007,0.26362361974869847,2,2.043130123896427,184,20260602
3,2,0.003,0.005166756808292891,0.0008155668612778858,0.0113462032931805,0.15784889661709298,2,2.14177164316202,185,20260602
3,2,0.003,0.004281118656997336,0.00046992166786165936,0.007182023768472501,0.10976609281632245,2,2.101616167244984,186,20260602
3,2,0.003,0.0024653846651982044,0.0006042522362827362,0.012169589281042012,0.245094505864527,2,2.0526621869522437,187,20260602
3,2,0.003,0.0054734759388907804,0.0001981564343679002,0.00267840700589981,0.03620303379063676,2,2.0737229223337117,188,20260602
3,2,0.003,0.0044580880975813334,0.0008300995949513753,0.01243242587996716,0.18620080554301585,2,2.2077608318344746,189,20260602
3,2,0.003,0.005169240659331981,0.0003959914845153049,0.005507727830292023,0.07660534895012583,2,2.0585411232707425,190,20260602
3,2,0.003,0.005189012117383103,0.00043897892957837144,0.006093984324239572,0.08459778463569191,2,2.0411126250787692,191,20260602
3,2,0.003,0.004095037410905463,0.00011842099696074322,0.0018505455359612683,0.028918172186993253,2,2.2187642671347607,192,20260602
3,2,0.003,0.004280779587140707,0.0007929082988739987,0.012118853342337105,0.1852252102060718,2,2.1233713452310417,193,20260602
3,2,0.003,0.0036548451876079746,0.00027008337385679124,0.004467487615504293,0.07389734995411819,2,2.3807674840014292,194,20260602
3,2,0.003,0.0019230792650751566,0.0006922649573612528,0.015786060228374445,0.35997733943337906,2,2.051420390207907,195,20260602
3,2,0.003,0.003116044153192393,0.0005884540017490903,0.010541701612895487,0.18884649023545386,2,2.0419695578943617,196,20260602
3,2,0.003,0.002868097491783362,0.0005514715635215343,0.010297366451820496,0.19227783054844255,2,2.0563067911450164,197,20260602
